id,id_str,screen_name,location,description,followers_count,friends_count,listedcount,favourites_count,verified,statuses_count,lang,default_profile,default_profile_image,has_extended_profile,bot
4040207472,4040207472,himawari8bot,Space,Unofficial; imagery courtesy: Japan Meteorological Agency (https://t.co/lzPXaTnMCi) and CIRA (https://t.co/YksnDoJEl8). Bot by @__jcbl__,2302,3,161,4,FALSE,7640,en,FALSE,FALSE,FALSE,1
3369547257,3369547257,emoji__polls,‰÷•ü,A silly bot by @fourtonfish @botwikidotorg. Image credit: https://t.co/X3tmC9y6oI,443,2,17,6,FALSE,9584,en,FALSE,FALSE,FALSE,1
2555847008,2555847008,everytrolltroll,,exposing the BLATANT HYPOCRISY of @everycanontroll // because @thricedotted was just THAT ANGRY about it,27,1,10,0,FALSE,145,en,TRUE,FALSE,FALSE,1
2520449720,2520449720,hyphizer,#botALLY,"New words, from time to time. By @derekarnold",191,2,19,0,FALSE,5684,en,FALSE,FALSE,FALSE,1
8.29E+17,8.29E+17,GreenwadeGema,,secr,1,35,1,54,FALSE,82,en,TRUE,FALSE,FALSE,1
2886558632,2886558632,par_papers,,"Twitterbot of #Parasitology papers in PubMed, bioRxiv, and PeerJ PrePrints. Image from http://t.co/zYv7ygHs2U. Run by @FilipHusnik",651,0,36,0,FALSE,19867,en,FALSE,FALSE,FALSE,1
2787206222,2787206222,everyMTGlegend,The Coast Where Wizards Chill,tweeting every legendary MTG card (as of 10/2015) task complete in ~1 year,37,45,7,0,FALSE,191,en,FALSE,FALSE,FALSE,1
2364079946,2364079946,assembly_papers,,Papers on directed and self assembly,331,56,36,23,FALSE,29989,en,TRUE,FALSE,FALSE,1
3369559252,3369559252,DeepDreamThis,"London, England",Tweet me a picture and I'll #deepdream it for you! Tweet '-me' and I'll dream your avatar! List of commands here: http://t.co/BRfLYAkWBA,1327,2,92,0,FALSE,24199,en,TRUE,FALSE,FALSE,1
1184955668,1184955668,baron777111,,,0,52,0,0,FALSE,0,en,TRUE,TRUE,,1
4855573727,4855573727,BestOpinionPoll,,express your opinion on hopelessly mundane things with the highest-quality polls this side of Twitter. A project by @_Ninji.,54,0,5,2,FALSE,1585,en,TRUE,FALSE,FALSE,1
2593449065,2593449065,dstroyeveryword,,Destroy every word in the english language. Task complete when the world ends. By @dangeredwolf.,4247,2,72,587,FALSE,109325,en,FALSE,FALSE,FALSE,1
7.61E+17,"""761165367985246208""","""917_7513""","""""","""Sports""",0,54,0,7,FALSE,18,"""en""",TRUE,TRUE,FALSE,1
1892842986,1892842986,snowcloneminute,,"A mashup of http://t.co/Tdj0YYLDOM and http://t.co/VSKfYVAJ21, another weird Internet thing by @air_hadoken.  Have a snowclone to add? Tweet it @air_hadoken!",163,2,74,64,FALSE,552492,en,TRUE,FALSE,FALSE,1
2540286551,2540286551,NESGarbageBot,,Tweets randomly-generated 16x16 images using the NES color palette. Images are resampled for your viewing pleasure.,32,1,12,0,FALSE,6181,en,TRUE,FALSE,FALSE,1
2751246980,2751246980,BklynMuseumBot,"Brooklyn, NY","I am a bot that tweets one random object from the Brooklyn Museum collection, four times a day. Bot by @backspace (not affiliated with @brooklynmuseum)",903,1,50,0,FALSE,3654,en,FALSE,FALSE,FALSE,1
7.72E+17,7.72E+17,clitoscope,,A compendium of newly discovered species of clitoris // by @startuple #botALLY,108,10,9,10,FALSE,537,en,FALSE,FALSE,FALSE,1
7.06E+17,7.06E+17,feud_exe,,Name something by @irondavy,190,1,23,1,FALSE,4032,en,FALSE,FALSE,FALSE,1
2835394560,2835394560,vaporfave,,Tweets ~10 times a day between 8am-10pm PST. Will probably get more vaporwave-y as time goes by. Complaints: @beaugunderson,675,118,66,8,FALSE,15437,en,FALSE,FALSE,FALSE,1
4825082233,4825082233,peabero89,"Van Horn town, TX, USA",Middle age is youth without levity; and age without decay.,1,340,0,33,FALSE,49,en,TRUE,FALSE,FALSE,1
4452780559,4452780559,UcOVJ4xlZaGwtKm,,,89,1225,0,2,FALSE,2,en,TRUE,FALSE,FALSE,1
2821046862,2821046862,moonmurmur,the sky and all of space,"[@thricedotted's subconscious, possibly]",1076,0,40,0,FALSE,12674,en,FALSE,FALSE,FALSE,1
2477378850,2477378850,AttentiveBot,Tended to by @dphiffer,"You may have missed some things, I will help you find them.",399,679,20,64,FALSE,26073,en,FALSE,FALSE,FALSE,1
6.99E+17,6.99E+17,vocalsvt, ‰äÇ VlNTAEGE,"hi! @VlNTAEGE gave you this free follow and i hope you'll follow my main acc, i want to get to know more people! have a good day ‰_•ü",394,3537,0,46,FALSE,349,en,FALSE,FALSE,FALSE,1
8.39E+17,8.39E+17,249_4665,,,4,96,0,3,FALSE,0,ar,TRUE,TRUE,FALSE,1
201143023,"""201143023""","""Ttimmson74""","""Virginia, USA""","""""",0,140,0,2,FALSE,12,"""en""",TRUE,TRUE,TRUE,1
8.21E+17,"""820930460121300992""","""LondonPogoMap""","""London""","""Rare and strong PokŽmon in London. See more PokŽmon at https://t.co/rqjskg5pkE""",1334,0,13,7,FALSE,59023,"""en""",TRUE,FALSE,FALSE,1
2787454512,2787454512,CrisprPhages,,"A twitterbot posting the latest pubmed publications on CRISPRs, phages, virusses and prophages.",36,1,6,0,FALSE,510,en,TRUE,TRUE,FALSE,1
8.4E+17,8.4E+17,forestgen,soothing forest,tweet me to get your own unique peaceful forest.  stay calm. created by @jshxe,8,1,1,0,FALSE,29,en,FALSE,FALSE,FALSE,1
2360241721,2360241721,phy_papers,,"Continuous feed for phylogenetics papers from PubMed, arXiv, bioRxiv, and PeerJ PrePrints. Run by @RobLanfear",1451,1,44,0,FALSE,15020,en,FALSE,FALSE,FALSE,1
177684507,177684507,rnomics,France,"#RNomics, #RNA biology, RNA #bioinformatics, #RNA_World & #evolution, technologies & resources, daily papers: https://t.co/UaH05PfPIt & https://t.co/cuczvAA7dr",1807,101,258,124,FALSE,125403,en,FALSE,FALSE,FALSE,1
8.41E+17,8.41E+17,woloshinj_buzz,,,1,63,0,0,FALSE,1,en,TRUE,TRUE,FALSE,1
2293077919,2293077919,DiGRAThemes,Snowbird,DiGRA 2014 Theme Generator. // by @ibogost,82,49,10,0,FALSE,16728,en,FALSE,FALSE,FALSE,1
7.82E+17,7.82E+17,Twisted_Maglion,,äš_o juzgues mis decisonescuando no conoces las razones.,2,20,0,66,FALSE,127,en,TRUE,FALSE,FALSE,1
8.34E+17,8.34E+17,shantae_stubby,,ilove myparents more thaneverything,0,25,0,56,FALSE,73,en,TRUE,FALSE,FALSE,1
3069631373,3069631373,super_jeopardy,,"This! Is! Jeopardy! I'm your host Alex Trebek and love wrong, she catches a train, literally. (by @alicemazzy)",78,1,14,0,FALSE,4438,en,FALSE,FALSE,FALSE,1
2398623474,2398623474,Speed_1994,"LA, FIRST TIME!",with love by @ems,403,6,16,1,FALSE,12395,en,FALSE,FALSE,FALSE,1
8752222,8752222,TheUniverse,Los Angeles,AKA @YACHT / @5everydayla / @terraformsf / computer book forthcoming @penguinrandom,7324,456,202,5109,TRUE,3334,en,FALSE,FALSE,FALSE,1
2553194245,2553194245,everywordNYT,,All the news that fit in @everyword. Tribute bot by @robdubbin.,68,0,15,1,FALSE,25193,en,TRUE,FALSE,FALSE,1
1945747520,1945747520,Exoriders,,"They scour the exoplanets for dinosaurs and when they find them, THEY RIDE THEM. New Exoriders at five after, chasing the @Exosaurs forever. Bot by @robinsloan.",108,1,20,0,FALSE,19770,en,TRUE,FALSE,FALSE,1
2479314061,2479314061,onlymanthings,MANLAND,MAN THINGS THAT ONLY MEN UNDERSTAND // by @thricedotted,120,0,22,0,FALSE,5614,en,TRUE,FALSE,FALSE,1
4853365872,4853365872,maximotxx,"Sandia, NM, USA",Knowledge Is Free.,0,330,0,21,FALSE,29,en,TRUE,FALSE,FALSE,1
7.84E+17,7.84E+17,violajacobs2414,,I want you to know thatI am both happy and sadand I'm still trying to fgure out how that could be.,0,22,0,71,FALSE,100,en,TRUE,FALSE,FALSE,1
302049050,302049050,Lake5Media,"New York, NY 10022",L5M is a provider of advanced software analytical services to the media industry. Clients include the largest firms in the industry. Please follow our progress.,15,19,0,0,FALSE,19,en,FALSE,FALSE,FALSE,1
3384759783,3384759783,crystalliser,,coagulated by @dead_cells,23,0,7,0,FALSE,63,en-gb,FALSE,FALSE,FALSE,1
393504310,393504310,SeethingVortex,New York Capital Territory,i got the poo on me,127,180,6,76087,FALSE,12702,en,FALSE,FALSE,TRUE,1
174958347,174958347,Horse_ebooks,,Horse ebooks,175986,14914,1829,1,FALSE,18839,en,TRUE,FALSE,FALSE,1
2305621754,2305621754,FMKVote,The Internet,"HOW TO VOTE: reply to a tweet with 'F' 'M' and 'K' in the order you want to vote. ('MFK' = marry, fuck, kill). A bot by @tinysubversions",731,1,28,0,FALSE,2576,en,TRUE,FALSE,FALSE,1
7.48E+17,7.48E+17,biorxiv_evobio,,,182,0,6,0,FALSE,433,en,TRUE,FALSE,FALSE,1
1885568064,1885568064,BoazimBot,"Boston, MA","I'm too lazy to update @boazims, so I wrote a bot to do it for me. Tweets hourly. By @tinysubversions.",123,0,35,0,FALSE,29410,en,TRUE,FALSE,FALSE,1
2808482336,2808482336,ClipArtBot,,"Tweet a picture at me and I'll reply with an improved version! Bot by @_Ninji, art from http://t.co/vUU2SFoL66 [Temporarily broken due to Twitter rate limits!]",1287,1,116,0,FALSE,62797,en,TRUE,FALSE,FALSE,1
7.49E+17,7.49E+17,gotogyuterte,#NAME?,#NAME?,110,1797,0,12,FALSE,4,en,TRUE,FALSE,FALSE,1
7.99E+17,7.99E+17,libraryofvivec,,artisanal bot by @Objelisks,9,0,6,0,FALSE,1412,en,FALSE,FALSE,TRUE,1
3945972795,3945972795,ItMeIRL,,i'm a bot that mirrors the latest posts from /r/me_irl by @corbindavenport.,102437,3,500,0,FALSE,13953,en,FALSE,FALSE,FALSE,1
7.79E+17,7.79E+17,Rober4628,,,4,350,0,4,FALSE,6,en,TRUE,FALSE,,1
8.26E+17,8.26E+17,aura_mazon,,ZONA OPERATIV DE DEFENSA NEGRAL NŒÁ 63,1,44,0,66,FALSE,78,en,TRUE,FALSE,FALSE,1
2533978033,"""2533978033""","""MBPoGoAlert""","""Myrtle Beach, SC""","""Pokemon Go Alerts in the Myrtle Beach Area! Conway: @ConwayPoGoAlert North Myrtle: @NMBPoGoAlert Loris/Green Sea: @LorisPoGoAlert Carolina Forest: @CFPoGoAlert""",281,5,1,1,FALSE,22739,"""en""",TRUE,FALSE,FALSE,1
2607163646,2607163646,tiny_star_field,,"i produce a small window of stars periodically throughout the day and night // (inquires, @katierosepipkin)",104669,5438,979,385,FALSE,7897,en,FALSE,FALSE,FALSE,1
516047986,516047986,pentametron,Stratford-upon-Internet,With algorithms subtle and discrete / I seek iambic writings to retweet.,23472,2,653,120,FALSE,59327,en,TRUE,FALSE,FALSE,1
2359455914,2359455914,ArkhamSingles,"Arkham, Massachusetts","Because even in a sunken, dead city things can be lonely. By @polm23",43,1,13,4,FALSE,26955,ja,TRUE,FALSE,FALSE,1
8.11E+17,8.11E+17,NYC_Newswire,"Brooklyn, NY",NYC Newswire Service,11,74,0,0,FALSE,1,en,TRUE,FALSE,FALSE,1
8.12E+17,"""812169101665669122""","""VegasPokeMap""","""Las Vegas""","""Rare and strong PokŽmon in Las Vegas and Spring Valley. See more PokŽmon at https://t.co/GB4nYu29n3""",928,0,20,0,FALSE,71773,"""en""",TRUE,FALSE,FALSE,1
2815184227,2815184227,literaldevices,,A bot that generates novel literary and rhetorical devices and their definitions. By @atduskgreg.,63,2,15,1,FALSE,2672,en,TRUE,FALSE,FALSE,1
2583829850,2583829850,emojicheer,Internet,BOT HARD EVE RY DAY TIL WE REACH THE GOAL #taskcomplete by @negatendo,71,2,14,1,FALSE,644,en,TRUE,FALSE,FALSE,1
2365773044,2365773044,EuphemismBot,,There is no need for that kind of language.,131,2,27,0,FALSE,4499,en,TRUE,FALSE,FALSE,1
2369366659,2369366659,NK_papers,,Paper Twitterbot for academics with an interest in NK cell biology.,171,4,13,1,FALSE,8808,en,FALSE,FALSE,FALSE,1
2216299843,2216299843,oliviataters,,ugh dad,6859,5458,279,73498,FALSE,46537,en,TRUE,FALSE,FALSE,1
7.68E+17,7.68E+17,QuantomBot,,Retweet bot for my #indiedev #gameDev bros and gals! Follow for increased retweet chance! Also follow my main account @quantomworks ! Happy coding :),3730,21,5204,155,FALSE,306026,en,FALSE,FALSE,FALSE,1
8.24E+17,8.24E+17,zatieot,"San Lorenzo zona urbana, USA","Aggressive, spoiled, overweight and rude, antagonistic, often the catalyst for the plot, frequently insults Kyle for being Jewish and Kenny for being poor.",4,244,0,10,FALSE,17,en,TRUE,FALSE,FALSE,1
8.32E+17,8.32E+17,ADigginsSDN,,,277,4887,5,1,FALSE,41,en,TRUE,FALSE,FALSE,1
2207864359,2207864359,FreeFlattery,inside the internet,"Send me a tweet & I'll give you some love. PS - I'm a computer, so words are my second language.",31,23,4,2,FALSE,170,en,TRUE,FALSE,FALSE,1
2250599918,2250599918,everyboolean,,Twittering every boolean value.,1078,0,23,0,FALSE,2,en,FALSE,FALSE,FALSE,1
7.41E+17,7.41E+17,bxv_molbiol,"Brighton, England",Molecular biology pre-prints from bioarxiv #openaccess #science #molbiol #molecularbiology,8,0,1,0,FALSE,123,en-gb,TRUE,FALSE,TRUE,1
1973382756,1973382756,ColBertStephens,"America, USA",Keeping our nation safe by arguing with RINOs like @EdTaters...  and you! A retired bot created by @leonardr.,14,3,7,0,FALSE,13752,en,TRUE,FALSE,FALSE,1
7.5E+17,7.5E+17,scillaria,____ __,#following(100%) #music #classic #news #bassball #travel #movie #pop #__ #____ #__ #jesus,9978,10829,9,681,FALSE,862,en,TRUE,FALSE,TRUE,1
7.98E+17,7.98E+17,MoskowitzMooney,,Diney Wrld 2015  Swet15,0,32,0,69,FALSE,93,en,TRUE,FALSE,FALSE,1
7.09E+17,7.09E+17,threedesert,,wandering the threedesert // feedback to @beaugunderson,204,1,34,0,FALSE,7491,en,FALSE,FALSE,FALSE,1
3408893381,3408893381,IFClueBot,,Bot by @dswxyz generates NPC/Room/Item combos from selected interactive fiction games. 215 games so far and counting! #intfiction,20,9,2,0,FALSE,2311,en,TRUE,FALSE,FALSE,1
206616788,206616788,dejiwall,,"Am crazy a little,I love parties,love tattoos,love ladies and am so in love with rock music,#LETSSAVETHEWORLD",109,153,0,25,FALSE,24,en,TRUE,FALSE,TRUE,1
7.54E+17,"""753547016962060289""","""PokemonGONewsUS""","""""","""""",539,10,36,5,FALSE,212479,"""en""",TRUE,FALSE,FALSE,1
8.41E+17,8.41E+17,ManoelaBeta7,,,227,292,0,0,FALSE,12,pt,TRUE,TRUE,FALSE,1
8.19E+17,8.19E+17,TahoeChains,Lake Tahoe,"This is an experimental bot, run by @toxic. It distributes a raw feed of the Chain Control log from Truckee CHP. See also: @i80chains, @us50chains.",105,4,4,0,FALSE,1571,en,FALSE,FALSE,FALSE,1
2899773086,2899773086,Every3Minutes,,[In the United States] a slave was sold on average every 3.6 minutes between 1820 and 1860 ~ Herbert Gutman,1022,0,96,0,FALSE,403392,en,FALSE,FALSE,FALSE,1
581817134,581817134,Anuroopjr,Chickballapur,Meow! Let's have some fun? I'm here (my login same in tw) -  https://t.co/tjPiiGC8tH,33,1526,0,1,FALSE,1,en,TRUE,FALSE,FALSE,1
352748863,352748863,ursulaflanagan,,,4,19,0,0,FALSE,0,en,TRUE,TRUE,,1
4851248005,4851248005,jowueob20,"Victoria city, MN, USA","Historian & classicist with a particular interest in linguistics & philology, ancient & modern, English or not. Fair range of contemporary interests, too.",1,342,0,41,FALSE,43,en,TRUE,FALSE,FALSE,1
4849674150,4849674150,quitoehck27,"Vancleave, MS, USA",The superior man understands what is right; the inferior man understands what will sell.,0,310,0,17,FALSE,27,en,TRUE,FALSE,FALSE,1
7.91E+17,7.91E+17,HAroldbtmeme28,"Venetian village, IL, USA",Contributing Editor for Network Ten based in Canberra. His views contestable but his own.,1,420,0,88,FALSE,80,en,TRUE,FALSE,FALSE,1
4855277593,4855277593,katharyns25,"Massapequa, NY, USA",Cecil Hurt has covered Alabama football & basketball for the Tuscaloosa News since 1982. Available for speaking.,0,346,0,14,FALSE,28,en,TRUE,FALSE,FALSE,1
2838477794,2838477794,hakusongs,hakuland,"it turns out there have been a lot of songs written about @thricedotted's catte, haku!!! like who wouldn't write a song about this perfect bb tho :3",23,0,10,0,FALSE,376,en,FALSE,FALSE,FALSE,1
3321136547,3321136547,thewillthewisp,"Poetry Department, Nereid",‰Ï¥,254,16,31,43,FALSE,13695,en,FALSE,FALSE,FALSE,1
2345739343,2345739343,living_newyork,new york,"Bot, What people tweet about living in new york",20,9,4,0,FALSE,445,en,TRUE,FALSE,FALSE,1
3041192247,3041192247,soamazingquote,,i misattribute inspirational quotes. Created by @liza,516,0,27,0,FALSE,4145,en,TRUE,FALSE,FALSE,1
7.87E+17,7.87E+17,loriwcute,"Lake Lucerne, FL, USA","Volcom is a modern lifestyle brand that embodies the creative spirit of youth culture. The company was founded on liberation, innovation and experimentation.",5,464,0,78,FALSE,88,en,TRUE,FALSE,FALSE,1
256628776,256628776,trinityadam,United States,#EmailMarketing & #LinkedIn #Expert | #SocialMediaMarketing #Coach | Please ReTweet: https://t.co/D3fJUUwzfl & Like My Video: https://t.co/dSBJ2Nnhzv,447990,487927,4233,4055,FALSE,107503,en,FALSE,FALSE,FALSE,1
4847926297,4847926297,regurol1994,"Paoli, PA, USA",Friend of the program.,1,338,0,26,FALSE,30,en,TRUE,FALSE,FALSE,1
18197506,18197506,Cardinal_Fang,,,255,1,28,0,FALSE,12821,en,TRUE,FALSE,FALSE,1
2955700599,2955700599,RACQUELW86,"Worthington city, OH, USA",first class charmer.,16,1862,0,285,FALSE,392,en,FALSE,FALSE,FALSE,1
2836032643,2836032643,plzrevisit,,Tweet me an image and I'll glitch it using http://t.co/fOUAcVPdjs. Complaints: @beaugunderson,268,99,56,0,FALSE,5099,en,TRUE,FALSE,FALSE,1
3795943403,3795943403,dailymoist,,Destigmatizing a misunderstood and unappreciated part of our vocabulary.,742,38,27,3,FALSE,367778,en,TRUE,FALSE,FALSE,1
1905798763,1905798763,killcodes,,One tweet can bring down a company. Just a bot searching for the right letters.,61,31,14,0,FALSE,627,en,TRUE,FALSE,FALSE,1
4599110415,4599110415,_emo_ji,,3•ü‰Ä£0•ü‰Ä£0•ü‰Ä£0•ü‰Ä£‰ã¢ tweet me pix // by @nah_solo,105,1,13,9,FALSE,570,en,FALSE,FALSE,TRUE,1
2408637672,2408637672,SadisticMedic_,Purification in Progress.,''...Advisories purified.. [The Baetter],26,35,7,9,FALSE,9117,en,FALSE,FALSE,FALSE,1
7.14E+17,7.14E+17,prix_fixe_exe,BK ‰Û¢ NY,Today's specials. Executive chef @irondavy.,13,1,2,0,FALSE,1035,en,FALSE,FALSE,FALSE,1
19108922,19108922,evoldir,,"EvolDir (Evolution Directory) mailing list on topics of interest to evolutionary biologists (conferences, jobs, software, etc.). Twitter version by @rdmpage",7724,22,186,9,FALSE,16682,en,TRUE,FALSE,FALSE,1
618294231,618294231,_grammar_,Follow me; see grammar errors!,@victor_zheng developed me to alert users in whose tweets I find improper grammar—he was inspired by @StealthMountain. To publish solecisms is to abase oneself!,38413,2,438,2722,FALSE,146227,en,FALSE,FALSE,FALSE,1
1652248890,1652248890,itsavailable,Namespace,"tweeting unregistered .com domain names 24/7. brainchild of @boozekitten, run by @labelmaker",124,158,10,55,FALSE,3597,en,FALSE,FALSE,FALSE,1
2250581388,2250581388,everyletterbot,,Tweeting every letter in the english language.,142,14,12,0,FALSE,26,en-gb,TRUE,FALSE,FALSE,1
2859032146,2859032146,PressXToBot,,Press F to Pay Respects,434,0,41,0,FALSE,3033,en,FALSE,FALSE,FALSE,1
7.92E+17,7.92E+17,julissaf93,"Trophy Club town, TX, USA",Sprezzy but messy since 1949,9,462,0,84,FALSE,72,en,TRUE,FALSE,FALSE,1
3282129691,3282129691,IFinspiration,The IFDB (ifdb.tads.org),Bot that gives you great game ideas by mixing tags from the IFDB! (By @hlabrande),44,0,5,5,FALSE,1220,en,TRUE,TRUE,FALSE,1
4848045286,4848045286,taehyungirl30,,,505,3673,0,745,FALSE,595,en,TRUE,FALSE,FALSE,1
3701125272,3701125272,MagicRealismBot,,I generate a magical story every 2 hours. Made by @chrisrodley and @yeldora_. Feedback or suggestions for new words? Email crodley@gmail.com.,67078,0,940,0,FALSE,12064,en,FALSE,FALSE,FALSE,1
7.65E+17,"""764507111665598464""","""EpicSGPokemon""","""Singapore""","""Uber rare and strong PokŽmon in Singapore. See more PokŽmon at https://t.co/LLiUGW8lBD\n\nFollow @SGPokeStatus for more info and status update.""",19048,2,135,7,FALSE,220592,"""en""",TRUE,FALSE,FALSE,1
35346943,35346943,pops131,"Taiwan(Sanchong,Taipei)","I'm a retired Brit living in Taiwan.Tweet-aholic who always follow back,but be aware if you unfollow me i will unfollow you.Happy Tweets:)",69508,70633,441,109,FALSE,423314,en,FALSE,FALSE,TRUE,1
8.41E+17,8.41E+17,ScottalenLeeRo1,,,0,100,0,0,FALSE,0,en,TRUE,TRUE,,1
2888761893,2888761893,face_withface,,"Randomly generated glitch emoji, based on http://t.co/ej5tzovHYE. Also on Tumblr. By @aparrish.",30,0,11,0,FALSE,1560,en,TRUE,FALSE,FALSE,1
8.41E+17,8.41E+17,lvnt2000,,,1,116,0,0,FALSE,1,en,TRUE,TRUE,FALSE,1
8.24E+17,8.24E+17,McdanielArmijo,,"Zumba instrutor, ZumbAtomic instructor, Dance , Fitfreak Manchester",0,34,0,37,FALSE,61,en,TRUE,FALSE,FALSE,1
3376432899,3376432899,all_in_cards,,generating cards for a mysterious card game åá bot by @ckolderup åá #botALLY åá avatar by Dmitriy Ivanov from the Noun Project,261,1,46,1,FALSE,4776,en,FALSE,FALSE,FALSE,1
3366974463,3366974463,autocompletejok,Search box,A bot that creates hilarious joax via Google's autocomplete. By @deathmtn.,1058,1,83,0,FALSE,7678,en,TRUE,FALSE,FALSE,1
2260367066,2260367066,FalalalaBot,"San Francisco, CA",A bot by @RandomOutput. Tweets what people on twitter think it 'Tis the Season for. Deactivated until it 'Tis the season once again.,15,1,7,2,FALSE,75,en,TRUE,FALSE,FALSE,1
1965236348,1965236348,msxs_2016,"Austin, TX",Previewing the MSXS Interactive 2016 conference schedule.,14,0,7,2,FALSE,3422,en,FALSE,FALSE,FALSE,1
8.27E+17,8.27E+17,harmonsway1013,"Illinois, USA",,2,106,0,0,FALSE,1,en,TRUE,TRUE,,1
4866592001,4866592001,CTCF_Papers,,"PubMed bot reporting all CTCF papers. Created by @gene_regulation. Also see @TF_binding_bot, @Nucleosome_Bot",344,24,8,1,FALSE,161,en,TRUE,FALSE,FALSE,1
2267027040,2267027040,2noob2btrue,USA,Outraged free speech warrior. Boycott Disney. Pewds dindu nuthin. Milo dindu nuthin. 40k gamer nerd (duh) Leftists are cucks. Glory to #kekistan,78,221,0,261,FALSE,1953,en,FALSE,FALSE,FALSE,1
544722510,544722510,virus_genome,,,21,19,3,0,FALSE,1160,en,TRUE,FALSE,FALSE,1
8.29E+17,8.29E+17,fitzpatrickmen4,,,12,33,0,47,FALSE,65,en,TRUE,FALSE,FALSE,1
2428936177,2428936177,MetaphorMagnet,"UCD, Dublin, Ireland","A Metaphor Machine casts a baleful eye on a dull world. Check out my bro-bots for more metaphors: @MetaphorMirror,  @BotOnBotAction & @BestOfBotWorlds #botALLY",669,7,162,9396,FALSE,21522,en,FALSE,FALSE,FALSE,1
2539843980,2539843980,imtherealdontai,,,0,34,0,0,FALSE,0,en,TRUE,TRUE,,1
